Crop // Variety,Block,Bed,Plan Field Year,Plan Field Week,Actual Field Week,Actual Field Date,Actual Bedft,Notes,Finished Harvesting
Lettuce Head // Queen of Hearts,D1,22,2025,32,33,2025-08-13,25,,TRUE
Lettuce Head // Truchas,D1,22,2025,32,33,2025-08-13,25,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,D1,23,2025,32,32,2025-08-05,200,,FALSE
Radish Daikon Bulk // Artesia,D1,24,2025,32,33,2025-08-14,50,,TRUE
Radish Daikon Bulk // Bora Nam,D1,24,2025,32,33,2025-08-14,50,,TRUE
Radish Daikon Bulk // Red King 2,D1,24,2025,32,33,2025-08-14,50,,TRUE
Radish Daikon Bulk // Red Meat,D1,24,2025,32,33,2025-08-14,50,,FALSE
Turnip // Hakurei,D1,25,2025,32,33,2025-08-14,100,,FALSE
Turnip // Hirosaki,D1,25,2025,32,33,2025-08-14,100,,FALSE
Turnip Bulk // Purple Top,D1,26,2025,32,33,2025-08-14,100,& 75' Scarlet Queen,FALSE
Bok Choy // Little Shanghai,E1,27,2025,32,33,2025-08-13,100,,FALSE
Broccolini // BC1611,E1,28,2025,32,33,2025-08-13,200,,FALSE
Broccolini // BC1611,E1,29,2025,32,33,2025-08-13,200,,TRUE
Broccolini // BC1611,E1,30,2025,32,33,2025-08-13,200,,TRUE
Kohlrabi // Kolibri,X3,32,2025,32,33,2025-08-13,150,,FALSE
Kohlrabi Storage // Kossak,X3,33,2025,32,33,2025-08-13,150,,FALSE
Radish Daikon Bulk // Artesia,Y1,1,2025,32,33,2025-08-13,200,,FALSE
Radish Daikon Bulk // Bora Nam,Y1,2,2025,32,33,2025-08-13,200,,FALSE
Radish Daikon Bulk // Red King 2,Y1,3,2025,32,33,2025-08-13,200,,FALSE
Scallion // Nabechan,CAT2,3,2024,36,36,2024-09-04,100,,TRUE
Kale Curly // Winterbor,HT1,6,2024,36,36,2024-09-04,100,,TRUE
Kale Curly // Winterbor,HT1,7,2024,36,36,2024-09-04,100,,TRUE
Kale Curly // Winterbor,HT1,8,2024,36,36,2024-09-04,100,,TRUE
Kale Lacinato // Ebony,HT1,1,2024,36,36,2024-09-04,100,,TRUE
Kale Lacinato // Ebony,HT1,2,2024,36,36,2024-09-04,100,,TRUE
Kale Lacinato // Ebony,HT1,3,2024,36,36,2024-09-04,100,,TRUE
Kale Lacinato // Ebony,HT1,4,2024,36,36,2024-09-04,100,,TRUE
Kale Lacinato // Ebony,HT1,5,2024,36,36,2024-09-04,100,,TRUE
Lettuce Mini Gem // Rosaine,CAT1,1,2024,37,37,2024-09-11,100,,TRUE
Lettuce Mini Gem // Rosaine,CAT1,2,2024,37,37,2024-09-11,100,,TRUE
Kale Russian // Siberian,HT2,1,2024,37,37,2024-09-11,110,,FALSE
Kale Russian // Siberian,HT2,2,2024,37,37,2024-09-11,110,,TRUE
Lettuce Mini Gem // Rosaine,CAT1,3,2024,38,38,2024-09-18,100,,TRUE
Dandelion // Clio,CAT4,1,2024,38,38,2024-09-18,100,,FALSE
Dandelion // Clio,CAT4,2,2024,38,38,2024-09-18,100,,TRUE
Kale Russian // Siberian,HT2,4,2024,38,38,2024-09-18,110,,TRUE
Kale Russian // Siberian,HT2,3,2024,38,38,2024-09-18,110,,TRUE
Kale Russian // Siberian,HT2,5,2024,38,38,2024-09-18,110,,TRUE
Arugula // Astro,HT3,1,2024,38,38,2024-09-18,50,,TRUE
Bok Choy // Li Ren,HT3,7,2024,38,38,2024-09-18,100,,TRUE
Greens Mix Cheap Frills // Cheap Frills,HT3,1,2024,38,38,2024-09-18,50,,TRUE
Lettuce Mix SN // Green Inscised SN,HT3,2,2024,38,38,2024-09-18,100,,TRUE
Lettuce Mix SN // Green Sweet Crisp,HT3,3,2024,38,38,2024-09-18,100,,TRUE
Lettuce Mix SN // Red Sweet Crisp,HT3,5,2024,38,38,2024-09-18,100,,TRUE
Lettuce Mix SN // Red Tango,HT3,6,2024,38,38,2024-09-18,100,,TRUE
Mustard // Miike Giant,HT3,4,2024,38,38,2024-09-18,100,,TRUE
Chard // Bright Lights,HT4,4,2024,38,38,2024-09-18,100,,FALSE
Chard // Bright Lights,HT4,5,2024,38,38,2024-09-18,100,,TRUE
Chard // Bright Lights,HT4,6,2024,38,38,2024-09-18,50,,TRUE
Cilantro // Calypso,JSS,3,2024,38,38,2024-09-18,50,,TRUE
Scallion // Nabechan,CAT2,2,2024,39,39,2024-09-25,100,,TRUE
Spinach // Kolibri,HT4,1,2024,39,39,2024-09-25,100,,FALSE
Spinach // Kolibri,HT4,2,2024,39,39,2024-09-25,100,,FALSE
Spinach // Kolibri,HT4,3,2024,39,39,2024-09-25,100,,FALSE
Lettuce Mini Gem // Rosaine,HT2,8,2024,40,40,2024-10-02,110,,FALSE
Lettuce Mix SN // Green Inscised SN,HT2,7,2024,40,40,2024-10-02,110,,TRUE
Lettuce Mix SN // Green Sweet Crisp,HT2,6,2024,40,40,2024-10-02,110,,TRUE
Scallion // Nabechan,CAT2,1,2024,42,41,2024-10-09,100,,TRUE
Spinach // Kolibri,HT4,8,2024,43,42,2024-10-16,100,,FALSE
Spinach // Kolibri,HT4,7,2024,43,42,2024-10-16,100,,FALSE
Spinach // Kolibri,HT4,6,2024,43,42,2024-10-16,50,,FALSE
Arugula // Astro,HT3,8,2024,46,46,2024-11-13,50,,TRUE
Greens Mix Cheap Frills // Cheap Frills,HT3,8,2024,46,46,2024-11-13,50,,TRUE
Radicchio Round // Indigo,A2,20,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Sweet Potato Murasaki // Murasaki,A3,1,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Cabbage Cone Storage // Murdoc,B3,1,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Cabbage Red // Omero,B3,2,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Cabbage Savoy // Famosa,B3,3,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Cabbage Green Storage // Storage No. 4,B3,4,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Potato Yellow // Satina,C1,1,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Carrot Bulk // Bolero,D3,11,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Radish Daikon Bulk // Artesia,E1,20,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Turnip Bulk // Purple Top,E1,19,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Sweet Potato Covington // Covington,A3,2,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Winter Squash Koginut // Koginut,A3,3,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Winter Squash Kabocha // Tetsukabuto,A3,4,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Potato White // Kennebec,C1,10,2024,NA,22,2024-06-01,200,2024 Bulk Harvest,TRUE
Radish Daikon Bulk // Red Meat,Y1,4,2025,32,33,2025-08-13,200,,FALSE
Arugula // Astro,A3,25,2025,33,34,2025-08-18,100,,FALSE
Greens Mix Baby Kale // Red Russian Kale,A3,25,2025,33,34,2025-08-18,25,,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,25,2025,33,34,2025-08-18,100,,FALSE
Greens Mix Rosie // Rosie,A3,25,2025,33,34,2025-08-18,25,,TRUE
Radish French Breakfast // French Breakfast,A3,26,2025,33,34,2025-08-18,100,,FALSE
Radish Purple // Bacchus,A3,26,2025,33,34,2025-08-18,100,,FALSE
Radish Red // Sora,A3,27,2025,33,34,2025-08-18,100,,FALSE
Scallion // Parade,B3,28,2025,33,33,2025-08-14,100,,FALSE
Beets Bulk Golden // Yellow Sunrise,C3,26,2025,33,33,2025-08-12,200,,FALSE
Beets Bulk Golden // Yellow Sunrise,C3,27,2025,33,33,2025-08-12,200,"S row Boldor, N row Surise",TRUE
Beets Bulk Red // Boro F1,C3,28,2025,33,33,2025-08-12,200,S row W 1/2 is Red Ace,FALSE
Beets Red // Red Ace F1,C3,29,2025,33,33,2025-08-12,200,"Plan was Boro, ran out of seed, seeded Red Ace",TRUE
Lettuce Head // Alkindus,D1,22,2025,33,1,2025-01-01,,Cancel,TRUE
Lettuce Head // Monte Carlo,D1,22,2025,33,1,2025-01-01,,Cancel,TRUE
Lettuce Head // Queen of Hearts,D1,22,2025,33,1,2025-01-01,,Cancel,TRUE
Lettuce Head // Truchas,D1,22,2025,33,1,2025-01-01,,Cancel,TRUE
Greens Mix Baby Kale // Red Russian Kale,A3,27,2025,34,1,2025-01-01,,Cancel,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,27,2025,34,1,2025-01-01,,Cancel,TRUE
Greens Mix Rosie // Rosie,A3,27,2025,34,1,2025-01-01,,Cancel,TRUE
Cilantro // Cruiser,B3,29,2025,34,1,2025-01-01,,Cancel,TRUE
Broccolini // Burgundy,C2,21,2025,34,34,2025-08-22,200,,FALSE
Broccolini // Burgundy,C2,22,2025,34,34,2025-08-22,200,,TRUE
Broccolini // Burgundy,C2,23,2025,34,34,2025-08-22,200,,TRUE
Chard // Bright Lights,C2,24,2025,34,34,2025-08-22,200,,FALSE
Kale Lacinato // Ebony,C2,25,2025,34,34,2025-08-22,200,,FALSE
Kale Lacinato // Ebony,C2,26,2025,34,34,2025-08-22,200,,TRUE
Kale Lacinato // Ebony,C2,27,2025,34,34,2025-08-22,200,,TRUE
Kale Lacinato // Ebony,C2,28,2025,34,34,2025-08-22,200,,TRUE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,C2,27,2025,34,36,2025-09-04,200,1 bed in C2,FALSE
Turnip // Hakurei,D1,26,2025,34,1,2025-01-01,,Cancel,TRUE
Bok Choy // Little Shanghai,E1,27,2025,34,1,2025-01-01,,Cancel,TRUE
Arugula // Astro,A3,28,2025,35,36,2025-09-03,100,,FALSE
Greens Mix Baby Kale // Red Russian Kale,A3,28,2025,35,1,2025-01-01,,Cancel,TRUE
Greens Mix Cheap Frills // Cheap Frills,A3,28,2025,35,1,2025-01-01,,Cancel,TRUE
Greens Mix Rosie // Rosie,A3,28,2025,35,1,2025-01-01,,Cancel,TRUE
Radish French Breakfast // French Breakfast,A3,29,2025,35,36,2025-09-03,100,,TRUE
Radish Purple // Bacchus,A3,29,2025,35,36,2025-09-03,100,,TRUE
Radish Red // Sora,A3,30,2025,35,1,2025-01-01,,Cancel,TRUE
Cilantro // Cruiser,B3,30,2025,35,1,2025-01-01,,Cancel,TRUE
Dandelion // Clio,CAT3,1,2025,36,37,2025-09-10,100,,FALSE
Dandelion // Clio,CAT3,2,2025,36,37,2025-09-10,100,,TRUE
Lettuce Mix SN // (Winter) Prismatic + Batavian,CAT3,3,2025,36,37,2025-09-10,100,,FALSE
Chard // Bright Lights,HT1,1,2025,36,38,2025-09-15,100,,FALSE
Chard // Bright Lights,HT1,2,2025,36,38,2025-09-15,100,,TRUE
Chard // Bright Lights,HT1,3,2025,36,38,2025-09-15,100,,TRUE
Chard // Bright Lights,HT1,4,2025,36,38,2025-09-15,100,,TRUE
Scallion // Parade,HT1,5,2025,36,38,2025-09-16,100,,FALSE
Bok Choy // Little Shanghai,HT2,1,2025,36,38,2025-09-16,55,,FALSE
Mustard // Miike Giant,HT2,7,2025,36,38,2025-09-16,110,planted 25' of mizuna,FALSE
Greens Mix Baby Kale // Red Russian Kale,A3,30,2025,36,36,2025-09-03,25,,FALSE
Greens Mix Cheap Frills // Cheap Frills,A3,30,2025,36,36,2025-09-03,100,,FALSE
Greens Mix Rosie // Rosie,A3,30,2025,36,36,2025-09-03,25,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,C2,28,2025,36,36,2025-09-04,400,2 beds in C2,FALSE
Kale Lacinato // Ebony,HT5,6,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,7,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,8,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,1,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,2,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,3,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,4,2025,36,36,2025-09-04,100,,FALSE
Kale Lacinato // Ebony,HT5,5,2025,36,36,2025-09-04,100,,FALSE
Bok Choy // Little Shanghai,HT2,1,2025,37,38,2025-09-16,55,,FALSE
Arugula Wild // Bellezia,CAT1,1,2025,38,39,2025-09-22,100,,FALSE
Arugula Wild // Bellezia,CAT1,2,2025,38,39,2025-09-22,100,,FALSE
Arugula Wild // Bellezia,CAT1,3,2025,38,39,2025-09-22,100,,FALSE
Scallion // Parade,HT1,6,2025,38,38,2025-09-16,100,,FALSE
Bok Choy // Little Shanghai,HT2,2,2025,38,41,2025-10-08,55,,FALSE
Mustard // Miike Giant,HT2,8,2025,38,38,2025-09-18,100,short 10',FALSE
Spinach // Kolibri,HT3,1,2025,38,39,2025-09-22,100,PP trays were spotty due to damping off (8/20 seeding),FALSE
Spinach // Kolibri,HT3,2,2025,38,39,2025-09-22,100,PP trays were spotty due to damping off (8/20 seeding),FALSE
Spinach // Kolibri,HT3,3,2025,38,39,2025-09-22,100,from 9/5 seeding,FALSE
Spinach // Kolibri,HT3,4,2025,38,39,2025-09-24,100,DS Kolibiri - PP trays of other types un-usable due to damping off,FALSE
Spinach // Kolibri,HT3,5,2025,38,39,2025-09-24,100,DS Kolibiri - PP trays of other types un-usable due to damping off,FALSE
Spinach // Kolibri,HT3,6,2025,38,39,2025-09-24,100,DS Kolibiri - PP trays of other types un-usable due to damping off,FALSE
Kale Russian // Siberian,HT4,6,2025,38,39,2025-09-26,100,,FALSE
Kale Russian // Siberian,HT4,7,2025,38,39,2025-09-26,100,,FALSE
Kale Russian // Siberian,HT4,3,2025,38,39,2025-09-26,100,,FALSE
Lettuce Mix SN // (Winter) Prismatic + Batavian,HT4,4,2025,38,40,2025-10-03,100,,FALSE
Bok Choy // Little Shanghai,HT2,2,2025,39,41,2025-10-08,20,,FALSE
Lettuce Mix SN // (Winter) Prismatic + Batavian,HT4,5,2025,39,40,2025-10-03,100,,FALSE
Arugula // Astro,JSS,1,2025,39,43,2025-10-20,50,,FALSE
Greens Mix Cheap Frills // Cheap Frills,JSS,1,2025,39,43,2025-10-20,50,,FALSE
Scallion // Parade,HT1,7,2025,40,41,2025-10-08,100,,FALSE
Bok Choy // Little Shanghai,HT2,3,2025,40,1,2025-01-01,0,Cancel,FALSE
Spinach // Kolibri,HT3,5,2025,40,1,2025-01-01,0,Cancel,FALSE
Spinach // Kolibri,HT3,6,2025,40,1,2025-01-01,0,Cancel,FALSE
Spinach // Rangitoto,HT3,7,2025,40,39,2025-09-26,50,West side,FALSE
Spinach // Space,HT3,7,2025,40,1,2025-01-01,0,Cancel,FALSE
Spinach // Sunangel,HT3,8,2025,40,39,2025-09-26,75,"3 N rows Sunangel, S row Rangitoto to W, Tarisier E",FALSE
Spinach // Tarsier,HT3,7,2025,40,39,2025-09-26,50,East side,FALSE
Lettuce Mix SN // (Winter) Prismatic + Batavian,HT4,6,2025,40,42,2025-10-13,100,,FALSE
Bok Choy // Little Shanghai,HT2,3,2025,41,43,2025-10-20,55,,FALSE
Lettuce Mix SN // (Winter) Prismatic + Batavian,HT4,7,2025,41,42,2025-10-13,100,,FALSE
Arugula // Astro,JSS,2,2025,41,43,2025-10-20,50,Date is approximate,FALSE
Greens Mix Cheap Frills // Cheap Frills,JSS,2,2025,41,43,2025-10-20,50,Date is approximate,FALSE
Scallion // Parade,HT1,8,2025,42,43,2025-10-20,100,Date is approximate,FALSE
Bok Choy // Little Shanghai,HT2,4,2025,42,43,2025-10-20,55,Date is approximate,FALSE
Lettuce Mix SN // (Winter) Prismatic + Batavian,HT4,8,2025,42,43,2025-10-20,100,Date is approximate,FALSE
Bok Choy // Little Shanghai,HT2,4,2025,43,43,2025-10-20,55,Date is approximate,FALSE
Arugula // Astro,JSS,3,2025,43,45,2025-11-04,50,Date is approximate,FALSE
Greens Mix Cheap Frills // Cheap Frills,JSS,3,2025,43,45,2025-11-04,50,Date is approximate,FALSE
Bok Choy // Bopak,HT2,5,2025,44,45,2025-11-04,55,"Date is approximate / assorted choy varieties, used best plants.",FALSE
Bok Choy // Bopak,HT2,5,2025,45,45,2025-11-04,55,"Date is approximate / assorted choy varieties, used best plants.",FALSE
Bok Choy // Bopak,HT2,6,2025,46,45,2025-11-04,55,"Date is approximate / assorted choy varieties, used best plants.",FALSE
Bok Choy // Bopak,HT2,6,2025,47,45,2025-11-04,55,"Date is approximate / assorted choy varieties, used best plants.",FALSE
Greens Mix Baby Kale // Red Russian Kale,CAT2,3,2026,10,,,,,FALSE
Greens Mix Cheap Frills // Cheap Frills,CAT3,3,2026,10,,,,,FALSE
Radish French Breakfast // French Breakfast,CAT2,2,2026,10,,,,,FALSE
Radish Purple // Bacchus,CAT2,1,2026,10,,,,,FALSE
Arugula // Astro,HT2,3,2026,8,9,2026-02-25,50,,FALSE
Greens Mix Baby Kale // Red Russian Kale,HT2,4,2026,8,9,2026-02-24,50,,FALSE
Greens Mix Cheap Frills // Cheap Frills,HT2,3,2026,8,9,2026-02-24,50,,FALSE
Greens Mix Cheap Frills // Cheap Frills,HT2,4,2026,9,,,,,FALSE
Arugula // Astro,HT2,5,2026,10,,,,,FALSE
Garlic // German White,B3,28,2026,12,14,2026-03-31,190,,FALSE
Garlic // German White,B3,27,2026,12,14,2026-03-31,200,,FALSE
Garlic // Hardneck - Em,B3,30,2026,12,14,2026-03-31,75,E side,FALSE
Garlic // Hardneck - Em,B3,29,2026,12,14,2026-03-31,50,E side,FALSE
Garlic // Music,B3,29,2026,12,14,2026-03-31,150,,FALSE
Garlic // Music,B3,28,2026,12,14,2026-03-31,10,W side,FALSE
Garlic // Softneck - Em,B3,30,2026,12,14,2026-03-31,125,W side,FALSE
Pea Shelling // PLS595,HT4,2,2026,12,,,,,FALSE
Pea Shelling // PLS595,HT4,1,2026,12,,,,,FALSE
Pea Snap // Super Sugar Snap,JSS,1,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,FALSE
Pea Snap // Super Sugar Snap,JSS,2,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,TRUE
Pea Snap // Super Sugar Snap,JSS,3,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,TRUE
Pea Snap // Sweet Gem,CAT4,1,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,FALSE
Pea Snap // Sweet Gem,CAT4,2,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,TRUE
Pea Snap // Sweet Gem,CAT4,3,2026,12,16,2026-04-15,100,3.3#/bed. soaked 1 day. drained/seeded day 3,TRUE
Arugula // Astro,B1,1,2026,14,14,2026-04-01,100,,FALSE
Frisee // Curlesi,B1,2,2026,14,14,2026-04-01,100,,FALSE
Greens Mix Baby Kale // Red Russian Kale,B1,3,2026,14,14,2026-04-01,15,,FALSE
Greens Mix Cheap Frills // Cheap Frills,B1,3,2026,14,14,2026-04-01,85,,FALSE
Lettuce Head // Alkindus,B1,4,2026,14,14,2026-04-01,0,,FALSE
Lettuce Mini Gem // Gatsbi,B1,4,2026,14,14,2026-04-01,100,last 20' Rosaine,FALSE
Lettuce Mini Gem // Rosaine,B1,5,2026,14,14,2026-04-01,100,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B1,6,2026,14,14,2026-04-01,100,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B1,7,2026,14,14,2026-04-01,100,,FALSE
Radish French Breakfast // French Breakfast,B1,8,2026,14,14,2026-04-01,100,,FALSE
Radish Purple // Bacchus,B1,9,2026,14,14,2026-04-01,100,,FALSE
Radish Red // Sora,B1,10,2026,14,14,2026-04-01,100,,FALSE
Arugula // Astro,B1,11,2026,15,15,2026-04-10,100,,FALSE
Cilantro // Cruiser,C3,1,2026,15,15,2026-04-10,200,,FALSE
Greens Mix Baby Kale // Red Russian Kale,B1,12,2026,15,15,2026-04-10,15,,FALSE
Greens Mix Cheap Frills // Cheap Frills,B1,12,2026,15,15,2026-04-10,85,,FALSE
Radish French Breakfast // French Breakfast,B1,13,2026,15,15,2026-04-10,100,came out a little light,FALSE
Radish Purple // Bacchus,B1,14,2026,15,15,2026-04-10,100,,FALSE
Radish Red // Sora,B1,15,2026,15,15,2026-04-10,100,,FALSE
Scallion // Parade,C3,2,2026,15,15,2026-04-10,200,,FALSE
Arugula // Astro,B1,16,2026,16,16,2026-04-17,100,,FALSE
Bok Choy // Li Ren Choi,B1,16,2026,16,16,2026-04-14,100,,FALSE
Bok Choy // Li Ren Choi,B1,17,2026,16,16,2026-04-14,100,,TRUE
Broccolini // BC1611,E2,1,2026,16,17,2026-04-22,200,,FALSE
Broccolini // BC1611,E2,2,2026,16,17,2026-04-22,200,,TRUE
Broccolini // BC1611,E2,3,2026,16,17,2026-04-22,200,,TRUE
Chard // Bright Lights,D3,1,2026,16,16,2026-04-17,200,,FALSE
Collards // Flash,D3,5,2026,16,16,2026-04-17,50,,FALSE
Dandelion // Clio,B2,1,2026,16,16,2026-04-14,175,filled in with fennel,FALSE
Escarole // Eros,B2,2,2026,16,1,2026-01-01,0,CANCEL plants died,FALSE
Fennel // Orazio,B2,2,2026,16,16,2026-04-14,200,,FALSE
Greens Mix Baby Kale // Red Russian Kale,B1,19,2026,16,16,2026-04-17,15,,FALSE
Greens Mix Cheap Frills // Cheap Frills,B1,19,2026,16,16,2026-04-17,85,,FALSE
Kale Curly // Winterbor,D3,5,2026,16,16,2026-04-17,150,,FALSE
Kale Curly // Winterbor,D3,4,2026,16,1,2026-01-01,0,CANCEL plants died,FALSE
Kale Lacinato // Ebony,D3,2,2026,16,16,2026-04-17,200,,FALSE
Kale Lacinato // Ebony,D3,3,2026,16,16,2026-04-17,200,,TRUE
Kale Lacinato // Ebony,D3,4,2026,16,16,2026-04-17,200,,TRUE
Kale Lacinato // Ebony,D3,8,2026,16,1,2026-01-01,0,CANCEL,FALSE
Lettuce Head // Alkindus,B2,3,2026,16,16,2026-04-13,85,,FALSE
Lettuce Mini Gem // Gatsbi,B2,3,2026,16,16,2026-04-13,15,,FALSE
Lettuce Mini Gem // Rosaine,B2,3,2026,16,16,2026-04-13,100,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B2,4,2026,16,16,2026-04-13,200,,FALSE
Parsley // Giant of Italy,C3,4,2026,16,16,2026-04-13,150,,FALSE
Radicchio Round // Indigo,B2,5,2026,16,17,2026-04-24,200,delayed til week 17,FALSE
Radicchio Variegated // Giorgine,B2,6,2026,16,17,2026-04-24,200,delayed til week 17,FALSE
Radish French Breakfast // French Breakfast,B1,20,2026,16,16,2026-04-17,100,,FALSE
Radish Purple // Bacchus,B1,21,2026,16,16,2026-04-17,100,,FALSE
Radish Red // Sora,B1,22,2026,16,16,2026-04-17,100,,FALSE
Scallion // Parade,C3,3,2026,16,17,2026-04-24,100,,FALSE
Zucchini Green // Noche,C1,1,2026,16,17,2026-04-22,200,,FALSE
Zucchini Green // Noche,C1,2,2026,16,17,2026-04-22,200,,TRUE
Arugula // Astro,B1,4,2026,17,17,2026-04-24,100,,FALSE
Cabbage Chinese // Minuet,E2,4,2026,17,17,2026-04-22,200,,FALSE
Cabbage Chinese // Minuet,E2,5,2026,17,17,2026-04-22,200,,TRUE
Cabbage Savoy // Alcosa,E2,8,2026,17,17,2026-04-22,200,,FALSE
Cauliflower Sprouting // Song,E2,7,2026,17,17,2026-04-22,200,,FALSE
Cauliflower Sprouting // Song,E2,6,2026,17,17,2026-04-22,200,,TRUE
Frisee // Curlesi,B1,28,2026,17,,,,,FALSE
Greens Mix Baby Kale // Red Russian Kale,B1,5,2026,17,17,2026-04-24,15,,FALSE
Greens Mix Cheap Frills // Cheap Frills,B1,5,2026,17,17,2026-04-24,85,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B2,7,2026,17,17,2026-04-24,200,,FALSE
Radish French Breakfast // French Breakfast,B1,6,2026,17,17,2026-04-24,100,,FALSE
Radish Purple // Bacchus,B1,7,2026,17,17,2026-04-24,100,,FALSE
Radish Red // Sora,B1,8,2026,17,17,2026-04-24,100,,FALSE
Scallion // Parade,C3,3,2026,17,17,2026-04-24,100,,FALSE
Zucchini Green // Noche,C1,3,2026,17,17,2026-04-22,200,,FALSE
Zucchini Green // Noche,C1,4,2026,17,17,2026-04-22,200,,TRUE
Zucchini Green // Noche,C1,5,2026,17,17,2026-04-22,200,,TRUE
Zucchini Green // Noche,C1,6,2026,17,17,2026-04-22,200,,TRUE
Zucchini Striped // Pantheon,C1,7,2026,17,,,,delayed,FALSE
Zucchini Striped // Pantheon,C1,8,2026,17,,,,delayed,FALSE
Zucchini Yellow // Golden Glory,C1,9,2026,17,17,2026-04-22,200,,FALSE
Zucchini Yellow // Golden Glory,C1,10,2026,17,17,2026-04-22,200,,TRUE
Arugula // Astro,B1,29,2026,18,,,,,FALSE
Beets Golden // Yellow Sunrise,D2,1,2026,18,,,,,FALSE
Beets Golden // Yellow Sunrise,D2,2,2026,18,,,,,FALSE
Beets Red // Red Ace F1,D2,3,2026,18,,,,,FALSE
Bok Choy // Li Ren Choi,D1,1,2026,18,,,,,FALSE
Broccolini // Bella Verde,E2,9,2026,18,,,,,FALSE
Broccolini // Bella Verde,E2,10,2026,18,,,,,FALSE
Broccolini // Happy Rich,E2,11,2026,18,,,,,FALSE
Broccolini // Happy Rich,E2,12,2026,18,,,,,FALSE
Broccolini // Happy Rich,E2,13,2026,18,,,,,FALSE
Cauliflower Sprouting // Song,E2,14,2026,18,,,,,FALSE
Cauliflower Sprouting // Song,E2,15,2026,18,,,,,FALSE
Celery // merengo,C3,6,2026,18,,,,,FALSE
Chard // Bright Lights,D3,9,2026,18,,,,,FALSE
Chard // Bright Lights,D3,10,2026,18,,,,,FALSE
Cilantro // Cruiser,C3,7,2026,18,,,,,FALSE
Collards // Flash,D3,11,2026,18,,,,,FALSE
Collards // Flash,D3,12,2026,18,,,,,FALSE
Cucumber // Corinto,HT5,3,2026,18,,,,,FALSE
Cucumber Katrina // Katrina,HT5,1,2026,18,,,,,FALSE
Cucumber Katrina // Katrina,HT5,2,2026,18,,,,,FALSE
Cucumber Pickling // Excelsior,HT5,4,2026,18,,,,,FALSE
Escarole // Eliance,B2,9,2026,18,,,,,FALSE
Greens Mix Baby Kale // Red Russian Kale,D1,2,2026,18,,,,,FALSE
Greens Mix Cheap Frills // Cheap Frills,D1,2,2026,18,,,,,FALSE
Kale Curly // Winterbor,D3,13,2026,18,,,,,FALSE
Kale Curly // Winterbor,D3,14,2026,18,,,,,FALSE
Kale Lacinato // Ebony,D3,15,2026,18,,,,,FALSE
Kale Lacinato // Ebony,D3,16,2026,18,,,,,FALSE
Kale Lacinato // Ebony,D3,17,2026,18,,,,,FALSE
Kale Lacinato // Ebony,D3,18,2026,18,,,,,FALSE
Lettuce Head // Alkindus,B2,10,2026,18,,,,,FALSE
Lettuce Mini Gem // Gatsbi,B2,10,2026,18,,,,,FALSE
Lettuce Mini Gem // Rosaine,B2,10,2026,18,,,,,FALSE
Lettuce Mix SN // (Spring/Fall) Prismatic + Butters,B2,11,2026,18,,,,,FALSE
Radish French Breakfast // French Breakfast,D1,2,2026,18,,,,,FALSE
Radish Purple // Bacchus,D1,3,2026,18,,,,,FALSE
Radish Red // Sora,D1,3,2026,18,,,,,FALSE
